"antigen","Class","mean_freq_nonImm","discordance_Imm","disappearance_rate","n_lots","unspec_prob"
"B37","I",0.113333333333333,0,0,6,1
"B76","I",0.18,0,0,6,1
"CW14","I",0.181666666666667,0,0,6,1
"DP1","II",0.146,0.9,0,5,1
"DP10","II",0.026,1,0,5,1
"DP11","II",0.036,0.833333333333333,0,5,1
"DP13","II",0.028,1,0,5,1
"DP14","II",0.06,0.75,0,5,1
"DP15","II",0.03,1,0,5,1
"DP17","II",0.016,0.75,0,5,1
"DP18","II",0.004,1,0,5,1
"DP2","II",0.01,1,0,5,1
"DP20","II",0.018,1,0,5,1
"DP23","II",0.034,1,0,5,1
"DP28","II",0.014,1,0,5,1
"DP3","II",0.046,1,0,5,1
"DP5","II",0.084,1,0,5,1
"DP6","II",0.06,1,0,5,1
"DP9","II",0.006,1,0,5,1
"DQ2","II",0.05,0.777777777777778,0,5,1
"DQ4","II",0.04,1,0,5,1
"DQ5","II",0.042,1,0,5,1
"DQ7","II",0.086,1,0,5,1
"DQ8","II",0.042,0.9,0.111111111111111,5,1
"DQ9","II",0.04,0.857142857142857,0,5,1
"DR1","II",0.104,1,0,5,1
"DR10","II",0.054,1,0,5,1
"DR103","II",0.048,1,0,5,1
"DR11","II",0.026,1,0,5,1
"DR12","II",0.052,1,0,5,1
"DR13","II",0.024,0.857142857142857,0,5,1
"DR14","II",0.018,0.875,0,5,1
"DR15","II",0.022,1,0,5,1
"DR16","II",0.02,1,0,5,1
"DR17","II",0.02,1,0,5,1
"DR18","II",0.04,1,0,5,1
"DR4","II",0.062,0.923076923076923,0.0833333333333333,5,1
"DR51","II",0.06,1,0,5,1
"DR52","II",0.046,0.916666666666667,0,5,1
"DR53","II",0.136,1,0.1,5,1
"DR7","II",0.088,1,0,5,1
"DR8","II",0.014,1,0,5,1
"DR9","II",0.036,1,0,5,1
"DQ6","II",0.034,0.777777777777778,0.142857142857143,5,0.999999999985177
" DP4","I",0,1,0,0,0.999999999970503
" DP5","I",0,1,0,0,0.999999999970503
" DR4","I",0,1,0,0,0.999999999970503
"DP4","II",0.012,0.666666666666667,0,5,0.999999999722647
"A80","I",0.105,0,0,6,0.999999996864587
"A29","I",0.0916666666666667,0,0,6,2.3550945257768e-09
"B46","I",0.0916666666666667,0,0,6,2.3550945257768e-09
"A66","I",0.09,0,0,6,1.70038096232916e-11
"CW4","I",0.0883333333333333,0,0,6,1.22767701198171e-13
"A1","I",0.03,0,0,6,2.22044604925031e-16
"A11","I",0.045,0,0,6,2.22044604925031e-16
"A2","I",0.0216666666666667,0,0,6,2.22044604925031e-16
"A23","I",0.0433333333333333,0,0,6,2.22044604925031e-16
"A24","I",0.0783333333333333,0,0,6,2.22044604925031e-16
"A25","I",0.0583333333333333,0,0,6,2.22044604925031e-16
"A26","I",0.03,0,0,6,2.22044604925031e-16
"A3","I",0.0183333333333333,0,0,6,2.22044604925031e-16
"A30","I",0.035,0,0,6,2.22044604925031e-16
"A31","I",0.045,0,0,6,2.22044604925031e-16
"A32","I",0.0266666666666667,0,0,6,2.22044604925031e-16
"A33","I",0.0166666666666667,0,0,6,2.22044604925031e-16
"A34","I",0.0716666666666667,0,0,6,2.22044604925031e-16
"A36","I",0.03,0,0,6,2.22044604925031e-16
"A43","I",0.0866666666666667,0,0,6,2.22044604925031e-16
"A68","I",0.015,0,0,6,2.22044604925031e-16
"A69","I",0.015,0,0,6,2.22044604925031e-16
"B13","I",0.0283333333333333,0,0,6,2.22044604925031e-16
"B44","I",0.0266666666666667,0,0,6,2.22044604925031e-16
"B45","I",0.0466666666666667,0,0,6,2.22044604925031e-16
"B47","I",0.03,0,0,6,2.22044604925031e-16
"B49","I",0.045,0,0,6,2.22044604925031e-16
"B54","I",0.0283333333333333,0,0,6,2.22044604925031e-16
"B56","I",0.0333333333333333,0,0,6,2.22044604925031e-16
"B57","I",0.0866666666666667,0,0,6,2.22044604925031e-16
"B58","I",0.05,0,0,6,2.22044604925031e-16
"B59","I",0.035,0,0,6,2.22044604925031e-16
"B63","I",0.085,0,0,6,2.22044604925031e-16
"B67","I",0.075,0,0,6,2.22044604925031e-16
"B7","I",0.0266666666666667,0,0,6,2.22044604925031e-16
"B73","I",0.0416666666666667,0,0,6,2.22044604925031e-16
"B75","I",0.0366666666666667,0,0,6,2.22044604925031e-16
"B8","I",0.0733333333333333,0,0,6,2.22044604925031e-16
"B82","I",0.0816666666666667,0,0,6,2.22044604925031e-16
"CW1","I",0.0733333333333333,0,0,6,2.22044604925031e-16
"CW10","I",0.0583333333333333,0,0,6,2.22044604925031e-16
"CW12","I",0.0566666666666667,0,0,6,2.22044604925031e-16
"CW15","I",0.0566666666666667,0,0,6,2.22044604925031e-16
"CW16","I",0.035,0,0,6,2.22044604925031e-16
"CW17","I",0.0566666666666667,0,0,6,2.22044604925031e-16
"CW18","I",0.0833333333333333,0,0,6,2.22044604925031e-16
"CW2","I",0.0783333333333333,0,0,6,2.22044604925031e-16
"CW5","I",0.0616666666666667,0,0,6,2.22044604925031e-16
"CW6","I",0.0733333333333333,0,0,6,2.22044604925031e-16
"CW7","I",0.0433333333333333,0,0,6,2.22044604925031e-16
"CW8","I",0.0133333333333333,0,0,6,2.22044604925031e-16
"CW9","I",0.0766666666666667,0,0,6,2.22044604925031e-16
"DP19","II",0.04,0,0,5,2.22044604925031e-16
